threshold,false_negative_rate,fnr_frontal,fnr_lateral,false_positive_rate,n_positive,n_negative,fpr_natural_photograph,fpr_other_medical_imaging,fpr_other_radiograph_modality,fpr_scanned_document
0.61,0.015,0.0,0.03,0.18181818181818182,600,99,0.0,0.0,0.8181818181818182,0.0
0.62,0.015,0.0,0.03,0.18181818181818182,600,99,0.0,0.0,0.8181818181818182,0.0
0.63,0.015,0.0,0.03,0.18181818181818182,600,99,0.0,0.0,0.8181818181818182,0.0
0.64,0.015,0.0,0.03,0.18181818181818182,600,99,0.0,0.0,0.8181818181818182,0.0
0.65,0.015,0.0,0.03,0.18181818181818182,600,99,0.0,0.0,0.8181818181818182,0.0
0.66,0.016666666666666666,0.0033333333333333335,0.03,0.18181818181818182,600,99,0.0,0.0,0.8181818181818182,0.0
0.67,0.016666666666666666,0.0033333333333333335,0.03,0.18181818181818182,600,99,0.0,0.0,0.8181818181818182,0.0
0.68,0.016666666666666666,0.0033333333333333335,0.03,0.18181818181818182,600,99,0.0,0.0,0.8181818181818182,0.0
0.69,0.016666666666666666,0.0033333333333333335,0.03,0.1717171717171717,600,99,0.0,0.0,0.7727272727272727,0.0
0.7,0.016666666666666666,0.0033333333333333335,0.03,0.1717171717171717,600,99,0.0,0.0,0.7727272727272727,0.0
0.71,0.016666666666666666,0.0033333333333333335,0.03,0.1717171717171717,600,99,0.0,0.0,0.7727272727272727,0.0
0.72,0.016666666666666666,0.0033333333333333335,0.03,0.1717171717171717,600,99,0.0,0.0,0.7727272727272727,0.0
0.73,0.016666666666666666,0.0033333333333333335,0.03,0.1717171717171717,600,99,0.0,0.0,0.7727272727272727,0.0
0.74,0.016666666666666666,0.0033333333333333335,0.03,0.1717171717171717,600,99,0.0,0.0,0.7727272727272727,0.0
0.75,0.018333333333333333,0.0033333333333333335,0.03333333333333333,0.1717171717171717,600,99,0.0,0.0,0.7727272727272727,0.0
0.76,0.018333333333333333,0.0033333333333333335,0.03333333333333333,0.1717171717171717,600,99,0.0,0.0,0.7727272727272727,0.0
0.77,0.018333333333333333,0.0033333333333333335,0.03333333333333333,0.1717171717171717,600,99,0.0,0.0,0.7727272727272727,0.0
0.78,0.018333333333333333,0.0033333333333333335,0.03333333333333333,0.16161616161616163,600,99,0.0,0.0,0.7272727272727273,0.0
0.79,0.018333333333333333,0.0033333333333333335,0.03333333333333333,0.16161616161616163,600,99,0.0,0.0,0.7272727272727273,0.0
0.8,0.018333333333333333,0.0033333333333333335,0.03333333333333333,0.16161616161616163,600,99,0.0,0.0,0.7272727272727273,0.0
0.81,0.018333333333333333,0.0033333333333333335,0.03333333333333333,0.16161616161616163,600,99,0.0,0.0,0.7272727272727273,0.0
0.82,0.018333333333333333,0.0033333333333333335,0.03333333333333333,0.16161616161616163,600,99,0.0,0.0,0.7272727272727273,0.0
0.83,0.021666666666666667,0.0033333333333333335,0.04,0.16161616161616163,600,99,0.0,0.0,0.7272727272727273,0.0
0.84,0.023333333333333334,0.0033333333333333335,0.043333333333333335,0.16161616161616163,600,99,0.0,0.0,0.7272727272727273,0.0
0.85,0.023333333333333334,0.0033333333333333335,0.043333333333333335,0.16161616161616163,600,99,0.0,0.0,0.7272727272727273,0.0
0.86,0.023333333333333334,0.0033333333333333335,0.043333333333333335,0.16161616161616163,600,99,0.0,0.0,0.7272727272727273,0.0
0.87,0.023333333333333334,0.0033333333333333335,0.043333333333333335,0.16161616161616163,600,99,0.0,0.0,0.7272727272727273,0.0
0.88,0.025,0.006666666666666667,0.043333333333333335,0.16161616161616163,600,99,0.0,0.0,0.7272727272727273,0.0
0.89,0.025,0.006666666666666667,0.043333333333333335,0.1414141414141414,600,99,0.0,0.0,0.6363636363636364,0.0
0.9,0.025,0.006666666666666667,0.043333333333333335,0.13131313131313133,600,99,0.0,0.0,0.5909090909090909,0.0
0.91,0.025,0.006666666666666667,0.043333333333333335,0.12121212121212122,600,99,0.0,0.0,0.5454545454545454,0.0
0.92,0.025,0.006666666666666667,0.043333333333333335,0.12121212121212122,600,99,0.0,0.0,0.5454545454545454,0.0
0.93,0.02666666666666667,0.006666666666666667,0.04666666666666667,0.1111111111111111,600,99,0.0,0.0,0.5,0.0
0.94,0.03,0.006666666666666667,0.05333333333333334,0.09090909090909091,600,99,0.0,0.0,0.4090909090909091,0.0
0.95,0.03333333333333333,0.006666666666666667,0.06,0.09090909090909091,600,99,0.0,0.0,0.4090909090909091,0.0
0.96,0.03666666666666667,0.006666666666666667,0.06666666666666667,0.09090909090909091,600,99,0.0,0.0,0.4090909090909091,0.0
0.97,0.04,0.006666666666666667,0.07333333333333333,0.09090909090909091,600,99,0.0,0.0,0.4090909090909091,0.0
0.98,0.04666666666666667,0.006666666666666667,0.08666666666666667,0.06060606060606061,600,99,0.0,0.0,0.2727272727272727,0.0
0.99,0.056666666666666664,0.006666666666666667,0.10666666666666667,0.06060606060606061,600,99,0.0,0.0,0.2727272727272727,0.0
1.0,1.0,1.0,1.0,0.0,600,99,0.0,0.0,0.0,0.0
