study_uid,field,mismatched_with_study_uid,bertscore_p,bertscore_r,bertscore_f1
1,findings,3014,0.8074911832809448,0.802731454372406,0.8051042556762695
1026,findings,2517,0.8498744368553162,0.8720999956130981,0.8608437776565552
1046,findings,2433,0.7953945994377136,0.7624959349632263,0.778597891330719
1052,findings,2902,0.8404320478439331,0.8694370985031128,0.8546885848045349
106,findings,3881,0.8345015048980713,0.768200695514679,0.7999797463417053
1067,findings,2086,0.8788723349571228,0.8826206922531128,0.8807425498962402
1099,findings,3087,0.824982762336731,0.8335617780685425,0.8292500972747803
1178,findings,429,0.8475216031074524,0.8123895525932312,0.8295837640762329
1199,findings,2354,0.861508846282959,0.8801127672195435,0.8707115054130554
121,findings,2269,0.8411128520965576,0.8667483925819397,0.8537382483482361
1218,findings,3177,0.8447142243385315,0.8390438556671143,0.8418695330619812
1267,findings,287,0.940125584602356,0.8462322354316711,0.8907113075256348
1280,findings,3918,0.8464741706848145,0.8294719457626343,0.8378868103027344
1330,findings,3003,0.8596169948577881,0.8470482230186462,0.8532863259315491
1350,findings,2708,0.9072195291519165,0.8114794492721558,0.8566828966140747
1370,findings,3922,0.8335611820220947,0.8310691118240356,0.8323132395744324
1378,findings,1919,0.8042423129081726,0.7635284066200256,0.7833566665649414
1438,findings,2124,0.8166270852088928,0.8328217267990112,0.8246448636054993
1448,findings,3319,0.8712723255157471,0.8253639340400696,0.8476970195770264
1451,findings,2922,0.8287893533706665,0.8286521434783936,0.82872074842453
147,findings,1,0.8248869776725769,0.8198325634002686,0.8223519921302795
1473,findings,3769,0.8506461381912231,0.7661062479019165,0.806165874004364
1491,findings,3345,0.8457637429237366,0.8454439043998718,0.8456038236618042
1520,findings,3557,0.8737128376960754,0.8321354389190674,0.852417528629303
1523,findings,2968,0.8707781434059143,0.8293787240982056,0.8495743274688721
1545,findings,3876,0.9089142084121704,0.878243625164032,0.8933157920837402
1550,findings,1765,0.8323731422424316,0.8063125014305115,0.8191356062889099
1551,findings,3798,0.8725458383560181,0.8226827383041382,0.8468809723854065
1556,findings,3545,0.8108963370323181,0.7740763425827026,0.7920587062835693
1563,findings,2803,0.8946346044540405,0.8409812450408936,0.8669785857200623
1597,findings,2774,0.8319396376609802,0.8392353653907776,0.8355715870857239
1608,findings,1813,0.8829588294029236,0.864830493927002,0.8738005757331848
1645,findings,3018,0.8031033873558044,0.8075023889541626,0.8052968978881836
1648,findings,3085,0.8331583738327026,0.8492734432220459,0.8411387205123901
1660,findings,2313,0.8261507749557495,0.8248251676559448,0.8254873752593994
1673,findings,691,0.8567230105400085,0.8235913515090942,0.8398305773735046
1674,findings,538,0.8542155027389526,0.82305508852005,0.8383458256721497
1676,findings,2317,0.8330491781234741,0.8345491886138916,0.8337985277175903
1706,findings,3189,0.8940566182136536,0.8779711723327637,0.8859409093856812
1731,findings,2095,0.83640056848526,0.806790828704834,0.8213289976119995
1732,findings,2569,0.8771162033081055,0.8366818428039551,0.8564220666885376
1740,findings,3662,0.8497049808502197,0.8171860575675964,0.8331282734870911
1744,findings,3156,0.8273563385009766,0.7943029999732971,0.8104928135871887
1750,findings,2597,0.8336962461471558,0.8458888530731201,0.8397483229637146
1758,findings,3429,0.8514708280563354,0.8752403855323792,0.8631919622421265
1765,findings,632,0.8250588178634644,0.8515995740890503,0.8381191492080688
1770,findings,3481,0.8580837249755859,0.7874656915664673,0.8212594389915466
1776,findings,3137,0.8837791085243225,0.8078590035438538,0.8441154360771179
1799,findings,799,0.844052791595459,0.8838372826576233,0.8634870052337646
1800,findings,2962,0.833236813545227,0.8206521272659302,0.8268965482711792
1812,findings,2932,0.9137020707130432,0.8425185680389404,0.8766677379608154
1813,findings,3574,0.9180383682250977,0.8873575925827026,0.9024372696876526
1822,findings,309,0.8921504616737366,0.9218053817749023,0.9067355990409851
1844,findings,1648,0.8448554277420044,0.8435139060020447,0.844184160232544
186,findings,3393,0.8321542143821716,0.801777184009552,0.816683292388916
1883,findings,2474,0.8088204860687256,0.8258484601974487,0.8172457814216614
1884,findings,1758,0.8618590235710144,0.8546749353408813,0.8582519292831421
1894,findings,147,0.8261897563934326,0.8244985342025757,0.8253432512283325
1896,findings,2513,0.8335868120193481,0.8193230032920837,0.8263933658599854
1913,findings,2171,0.8223534226417542,0.8034546375274658,0.8127942085266113
1918,findings,3581,0.8556262254714966,0.8284192085266113,0.8418028950691223
1919,findings,3956,0.8192592263221741,0.8571677207946777,0.8377848863601685
1920,findings,1844,0.8285280466079712,0.8780145645141602,0.8525537848472595
1930,findings,2880,0.8248058557510376,0.860697329044342,0.8423694372177124
1932,findings,2722,0.8464695811271667,0.7991812229156494,0.8221459984779358
1946,findings,3016,0.8377196788787842,0.882150411605835,0.8593611717224121
1958,findings,1550,0.8861636519432068,0.8339482545852661,0.8592634797096252
1972,findings,3846,0.854683518409729,0.8602257966995239,0.8574456572532654
1994,findings,1046,0.8371712565422058,0.8608202934265137,0.848831057548523
2014,findings,2852,0.8204155564308167,0.8261116743087769,0.8232537508010864
2028,findings,3079,0.890439510345459,0.8064537644386292,0.8463682532310486
2032,findings,367,0.9127807021141052,0.9086824655532837,0.9107270240783691
2035,findings,1896,0.8209918737411499,0.8314861059188843,0.8262056708335876
2039,findings,2035,0.8526479005813599,0.7978101372718811,0.8243179321289062
2045,findings,3311,0.826377272605896,0.8725549578666687,0.8488385677337646
207,findings,3349,0.8143212795257568,0.8357381820678711,0.8248907327651978
2070,findings,3796,0.8509278297424316,0.8375931978225708,0.8442078828811646
2086,findings,2982,0.8359565138816833,0.8572804927825928,0.8464842438697815
2092,findings,3117,0.8136178255081177,0.8046319484710693,0.8090999722480774
2095,findings,3639,0.8227388262748718,0.8405340313911438,0.8315412402153015
2124,findings,264,0.7622618079185486,0.757353663444519,0.7597998976707458
2138,findings,3525,0.8363164663314819,0.8061116337776184,0.8209362626075745
2161,findings,3858,0.8212367296218872,0.8215727210044861,0.8214046955108643
2171,findings,2815,0.8260164260864258,0.8547708988189697,0.8401477336883545
2179,findings,1812,0.7800175547599792,0.7955872416496277,0.7877255082130432
2181,findings,3930,0.8114959001541138,0.8186360001564026,0.8150503039360046
2184,findings,505,0.8641958236694336,0.8381116986274719,0.8509539365768433
2208,findings,3555,0.806109607219696,0.786655068397522,0.7962635159492493
