metric,n,mean,ci_lower,ci_upper,ci_width
findings_bertscore_p,460,0.8460955970961115,0.8433336915626474,0.8489218644927377,0.005588172930090285
findings_bertscore_r,460,0.83877127274223,0.8355738051073707,0.8420331892047239,0.006459384097353249
findings_bertscore_f1,460,0.8420185134462689,0.8394210446658342,0.8446937744481408,0.005272729782306529
impression_bertscore_p,460,0.835882398745288,0.8303952589728262,0.8414644821474085,0.011069223174582365
impression_bertscore_r,460,0.8578596271898435,0.8520904546231031,0.8634605809787045,0.011370126355601418
impression_bertscore_f1,460,0.8455307538094727,0.8406435202677612,0.8504825860974581,0.009839065829696847
