study_uid,status,reason,findings_bleu,findings_rouge_l,findings_meteor,impression_bleu,impression_rouge_l,impression_meteor
3967,completed,,5.488476048333683,0.3214285714285714,0.3462812405901837,13.83254362586636,0.5454545454545454,0.4046474358974359
618,completed,,4.785816823717759,0.1866666666666666,0.2699174220391874,2.9021429580323628,0.375,0.1153846153846153
2161,completed,,4.4783080556339865,0.1694915254237288,0.1729325640548421,4.319402267866687,0.0769230769230769,0.2630208333333333
1520,completed,,18.50329982196305,0.4166666666666666,0.5046198624785123,42.7287006396234,0.75,0.7500000000000001
1563,completed,,6.368876214355264,0.1951219512195121,0.1761381475667189,12.759307794697138,0.3999999999999999,0.5162738496071829
1932,completed,,5.708542010374558,0.4444444444444444,0.3518767976116794,10.682175159905851,0.0,0.15625
3003,completed,,2.715054061028833,0.2456140350877193,0.1926494052799536,19.070828081828378,0.5454545454545454,0.5844907407407408
2516,completed,,5.351964185428814,0.3666666666666667,0.3555231616456107,7.495553473355842,0.4615384615384615,0.6552706552706554
2956,completed,,4.80958829826979,0.4864864864864865,0.4404131630852277,10.682175159905851,0.0,0.15625
207,completed,,2.2765624799097988,0.2933333333333333,0.4889243946942982,8.392229812593097,0.2352941176470588,0.1
3238,completed,,0.4019026203259974,0.144927536231884,0.1285448122338366,3.4440626489727304,0.1142857142857143,0.1582978723404255
3211,completed,,1.7019605923312962,0.1052631578947368,0.0933058048121972,1.2458232008504773,0.0,0.0210970464135021
3039,completed,,6.288914797547568,0.3888888888888889,0.4669919127988748,0.0,0.0,0.0
3930,completed,,1.442285666213978,0.1739130434782608,0.106951871657754,5.522397783539471,0.0,0.0943396226415094
1648,completed,,7.295976339074099,0.2222222222222222,0.2634837962962963,0.6193628179172647,0.125,0.0318471337579617
3803,completed,,5.983479686184756,0.3333333333333333,0.3482425262728293,12.43423351463457,0.5882352941176471,0.4024496937882765
538,completed,,3.78786561257948,0.1904761904761905,0.1769248501613647,11.417530270031053,0.375,0.3444444444444445
1813,completed,,7.920474503031515,0.3999999999999999,0.372,12.44023474812678,0.25,0.1020408163265306
3672,completed,,2.622723570535095,0.037037037037037,0.0949367088607594,2.159701133933343,0.2105263157894736,0.2631578947368421
2486,completed,,10.445108870337686,0.2061855670103093,0.2199153433348875,0.0,0.0,0.0
3413,completed,,2.968155899432701,0.2641509433962264,0.2904910323709536,14.506309551249304,0.5,0.2840909090909091
2880,completed,,5.091212823097751,0.2580645161290323,0.1842105263157894,10.682175159905851,0.0,0.15625
2440,completed,,2.019385597421733,0.2352941176470588,0.1666666666666666,14.794015674776452,0.2857142857142857,0.2040816326530612
3502,completed,,0.2272518921397758,0.0987654320987654,0.0983694988397182,0.8869867876621939,0.0526315789473684,0.0302114803625377
1,completed,,7.752017670961585,0.253968253968254,0.212662787475755,6.870636427700047,0.0,0.072463768115942
3363,completed,,0.4082255922677372,0.125,0.1038398692810457,3.211527255344238,0.1818181818181818,0.1204819277108433
238,completed,,2.3901021968803136,0.0,0.078125,42.7287006396234,0.75,0.7500000000000001
1750,completed,,5.946585766784726,0.2531645569620253,0.299711507639705,1.067638729600582,0.2352941176470588,0.1539491298527443
3858,completed,,7.431081247795366,0.1860465116279069,0.3082194508154944,5.816635421147515,0.3529411764705882,0.5260416666666669
