study_uid,findings_bertscore_p,findings_bertscore_r,findings_bertscore_f1,impression_bertscore_p,impression_bertscore_r,impression_bertscore_f1
1,0.8658328652381897,0.8498153686523438,0.857749342918396,0.8243029117584229,0.7923885583877563,0.8080307245254517
1026,0.8274459838867188,0.8502296209335327,0.8386831283569336,0.8292320370674133,0.8400007486343384,0.8345816731452942
1046,0.7842372059822083,0.7987532019615173,0.7914286255836487,0.8120663166046143,0.9159761667251587,0.8608970642089844
1052,0.8463693857192993,0.8636407256126404,0.8549178242683411,0.7378514409065247,0.881274402141571,0.8032106757164001
106,0.8434752821922302,0.8472809195518494,0.845373809337616,0.826487123966217,0.8028221726417542,0.8144828081130981
1067,0.848189115524292,0.8662038445472717,0.8571018576622009,0.9563257694244385,0.9014555215835571,0.9280803799629211
1099,0.8661163449287415,0.8734917044639587,0.8697883486747742,0.9215592741966248,0.9434348344802856,0.932368814945221
1178,0.8160461187362671,0.8499457836151123,0.8326510190963745,0.7795267105102539,0.7910352945327759,0.7852388024330139
1199,0.8827259540557861,0.8679558038711548,0.8752785325050354,0.9058100581169128,0.8665485978126526,0.8857444524765015
121,0.8231325149536133,0.8626552224159241,0.842430591583252,0.7875605821609497,0.8182968497276306,0.802634596824646
1218,0.848006010055542,0.8374193906784058,0.8426794409751892,0.9012605547904968,0.9463194608688354,0.923240602016449
1267,0.8454058170318604,0.8157554268836975,0.8303160667419434,0.9302599430084229,0.9518963098526001,0.9409537315368652
1280,0.8806813955307007,0.8679822683334351,0.8742857575416565,0.7223687171936035,0.8319727182388306,0.7733063697814941
1330,0.9091546535491943,0.9278780817985535,0.9184209108352661,0.8565279841423035,0.8874143362045288,0.871697723865509
1350,0.9017372131347656,0.7858044505119324,0.839788556098938,0.9325909614562988,0.7210215330123901,0.8132717609405518
1370,0.8603355884552002,0.8102536201477051,0.8345439434051514,0.829105019569397,0.7573007941246033,0.791577935218811
1378,0.7607859373092651,0.7686325907707214,0.7646891474723816,0.773984432220459,0.8791029453277588,0.8232014775276184
1438,0.8307812213897705,0.8526973724365234,0.8415966033935547,0.83967524766922,0.8368052840232849,0.8382378220558167
