field,component,macro_precision_upper,macro_precision_lower,difference,ci_lower,ci_upper,excludes_zero,macro_recall_upper,macro_recall_lower,macro_f1_upper,macro_f1_lower
findings,precision,0.15883088443394874,0.13760572410782496,0.021225160326123788,-0.036555369841095704,0.0734714905799827,False,,,,
findings,recall,,,0.07618700126311367,0.031454278410137274,0.12178238224619874,True,0.19272793625838122,0.11654093499526755,,
findings,f1,,,0.05874960746580886,0.01650202967046759,0.09777231553985062,True,,,0.16892694196363017,0.11017733449782131
impression,precision,0.16459290022315232,0.20153160011596163,-0.03693869989280932,-0.10863266677353153,0.03066078546220338,False,,,,
impression,recall,,,0.06452377086100144,0.01523960361610538,0.12023691476461526,True,0.19421537697204488,0.12969160611104344,,
impression,f1,,,0.025591697186796214,-0.019802762820331797,0.07096950069410558,False,,,0.17339573067068947,0.14780403348389326
