encoder,mrr,recall@1,precision@1,ndcg@1,recall@3,precision@3,ndcg@3,recall@5,precision@5,ndcg@5,recall@10,precision@10,ndcg@10
biomedclip,0.4933700131405515,0.3298611111111111,0.3298611111111111,0.28483796296296293,0.5850694444444444,0.3240740740740741,0.2848588077740197,0.6979166666666666,0.32395833333333335,0.28560617341852734,0.8350694444444444,0.3213541666666667,0.2857316887703166
clip_generic,0.4508477454596421,0.2673611111111111,0.2673611111111111,0.24375000000000002,0.5694444444444444,0.2829861111111111,0.24836405998249667,0.6909722222222222,0.28194444444444444,0.24945526035794005,0.8142361111111112,0.27065972222222223,0.24340974058361275
densenet121,0.47723001570367274,0.3038194444444444,0.3038194444444444,0.2726851851851852,0.5850694444444444,0.3125,0.27567803875218644,0.671875,0.30624999999999997,0.2725870684827008,0.8159722222222222,0.2994791666666667,0.27143879565787044
random,0.412450947945227,0.22986111111111113,0.22986111111111113,0.20444444444444443,0.49513888888888896,0.22465277777777778,0.20126463015343699,0.6482638888888889,0.2267361111111111,0.20204133414508274,0.8194444444444444,0.22458333333333336,0.20096444402169011
