encoder,mrr,recall@1,precision@1,ndcg@1,recall@3,precision@3,ndcg@3,recall@5,precision@5,ndcg@5,recall@10,precision@10,ndcg@10
biomedclip,0.42382612689126886,0.2825586524961896,0.2825586524961896,0.16750382275625447,0.4793440024370627,0.2610459578819466,0.16472392668298774,0.587464072279719,0.25995840829754274,0.1691175964493788,0.7421897190868779,0.2548558007242779,0.1745218703560032
clip_generic,0.3091005019412324,0.13037983109299417,0.13037983109299417,0.09177669062802421,0.3800661532511203,0.17457485111287072,0.10675507445892585,0.5226551485055816,0.17348423257005496,0.10904528833142502,0.6831300988535826,0.17744595153293752,0.11397734730878674
densenet121,0.35112505342882194,0.1805668074997172,0.1805668074997172,0.12223878671958915,0.44059848566536686,0.21199339705519665,0.13246167750518267,0.5126987545322025,0.20317990610142952,0.13137045588997204,0.6807650127268268,0.1951836293875141,0.1323854948439289
random,0.32367996655378506,0.16268520576322365,0.16268520576322365,0.10390252964777297,0.3675745749150787,0.1521053949860072,0.10137074062800217,0.5155443093143433,0.15300056303934262,0.10175401308732307,0.6995175709289222,0.15082770711553897,0.10206007140327236
