encoder,primary_label,mrr,recall@1,precision@1,ndcg@1,recall@3,precision@3,ndcg@3,recall@5,precision@5,ndcg@5,recall@10,precision@10,ndcg@10
biomedclip,Atelectasis,0.4258563842203548,0.25,0.25,0.13194444444444445,0.5,0.2222222222222222,0.1304896978927957,0.7083333333333334,0.26666666666666666,0.15078734467627508,0.8333333333333334,0.2625,0.14755683497988187
biomedclip,Calcinosis/Atherosclerosis,0.2865478176276724,0.13793103448275862,0.13793103448275862,0.08620689655172414,0.3448275862068966,0.11494252873563217,0.0792724752788701,0.5172413793103449,0.1310344827586207,0.08813777999060124,0.6551724137931034,0.13103448275862067,0.0915222880826233
biomedclip,Cardiomegaly,0.5016673336001067,0.2857142857142857,0.2857142857142857,0.20238095238095238,0.6666666666666666,0.3333333333333333,0.21823721393415965,0.7142857142857143,0.3523809523809524,0.2442691949099184,0.9047619047619048,0.34285714285714286,0.24500825704174978
biomedclip,Degenerative/Bone,0.2000078483644605,0.0625,0.0625,0.026041666666666664,0.1875,0.07291666666666666,0.03864045316080645,0.3125,0.1,0.04547495400643418,0.625,0.1375,0.07340632843049692
biomedclip,Edema/Congestion,0.6903855910705227,0.5833333333333334,0.5833333333333334,0.2638888888888889,0.8333333333333334,0.47222222222222215,0.22991534312724834,0.8333333333333334,0.5166666666666667,0.23202339158513607,0.9166666666666666,0.5083333333333333,0.26304379434769837
biomedclip,Emphysema/COPD,0.34597767187166933,0.14814814814814814,0.14814814814814814,0.06481481481481481,0.4444444444444444,0.16049382716049382,0.07294108968621313,0.5555555555555556,0.15555555555555556,0.07784635483605774,0.8148148148148148,0.15185185185185188,0.0823766421519564
biomedclip,Fibrosis/Interstitial,0.30312500000000003,0.25,0.25,0.16666666666666666,0.25,0.16666666666666666,0.10288661358428153,0.25,0.15,0.08653125209370553,0.5,0.175,0.09678671398256594
biomedclip,Granuloma,0.39725185528756957,0.21428571428571427,0.21428571428571427,0.16071428571428573,0.4642857142857143,0.23809523809523808,0.17328425158989527,0.6071428571428571,0.2,0.162117098879799,0.8214285714285714,0.21785714285714283,0.17780876834902312
biomedclip,Hernia/Diaphragm,0.2792768210849705,0.18181818181818182,0.18181818181818182,0.053030303030303025,0.2727272727272727,0.1515151515151515,0.06148502416225474,0.45454545454545453,0.16363636363636364,0.07808466821107023,0.5454545454545454,0.16363636363636364,0.0831497986873639
biomedclip,Lung Opacity,0.3580872626828509,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.3333333333333333,0.16666666666666666,0.17900341295691102,0.5,0.16666666666666666,0.1768213670581357,0.75,0.12916666666666668,0.14734550377279274
biomedclip,Nodule/Mass,0.36827985362591875,0.26666666666666666,0.26666666666666666,0.10555555555555556,0.4,0.17777777777777776,0.08423369035590209,0.4666666666666667,0.16000000000000003,0.0847271738625847,0.7333333333333333,0.18666666666666665,0.09719997324206046
biomedclip,Normal,0.7290183299572971,0.5586854460093896,0.5586854460093896,0.5586854460093896,0.9014084507042254,0.5539906103286385,0.555092203582213,0.9624413145539906,0.539906103286385,0.5451980637478866,0.9906103286384976,0.5305164319248826,0.5363732758435134
biomedclip,Other Abnormality,0.27033894101105366,0.0875,0.0875,0.08125,0.2875,0.12083333333333332,0.11117263934126101,0.5,0.135,0.12093261206767843,0.7375,0.145,0.12881601937416953
biomedclip,Pleural Effusion,0.6065359477124184,0.4444444444444444,0.4444444444444444,0.27222222222222225,0.6666666666666666,0.4444444444444444,0.30583594011592996,0.8888888888888888,0.5111111111111111,0.34341353611003433,0.8888888888888888,0.4666666666666667,0.33269864968325863
biomedclip,Pneumonia,0.3762954844072614,0.25,0.25,0.05,0.5,0.41666666666666663,0.15540172373748473,0.5,0.35,0.13777755674730463,0.5,0.375,0.16324775166072475
