metric,n,mean,ci_lower,ci_upper,ci_width
findings_bertscore_p,100,0.8431407541036606,0.837237357005477,0.8486842184960842,0.011446861490607252
findings_bertscore_r,100,0.8601715761423111,0.854516592875123,0.8657257499992848,0.011209157124161706
findings_bertscore_f1,100,0.8511680632829666,0.8465029788315296,0.8558773459196091,0.009374367088079483
impression_bertscore_p,100,0.8451449155807496,0.8323187801688909,0.8588814092874526,0.026562629118561665
impression_bertscore_r,100,0.8665874540805817,0.853933333799243,0.880153465077281,0.026220131278038017
impression_bertscore_f1,100,0.8546827727556229,0.8434333745539189,0.8665319280177355,0.023098553463816618
