study_uid,status,reason,retrieved_uids,top1_similarity,findings_bleu,findings_rouge_l,findings_meteor,impression_bleu,impression_rouge_l,impression_meteor
3967,completed,,142|1926|1643|438|1546,0.9789539575576782,5.488476048333683,0.32142857142857145,0.3462812405901837,7.474875887495341,0.3529411764705882,0.3488372093023256
618,completed,,2965|858|1106|2701|2030,0.9489535093307495,6.773082920989235,0.2830188679245283,0.27458264899768264,3.9016631127179093,0.2564102564102564,0.3388734076433121
2161,completed,,1074|1193|2123|45|454,0.9727507829666138,7.462790357451033,0.2444444444444444,0.3366259885077089,1.7911710595643588,0.06896551724137931,0.12096774193548386
1520,completed,,1574|3377|3314|2081|2552,0.9480918645858765,18.503299821963054,0.41666666666666663,0.5046198624785123,42.7287006396234,0.75,0.7500000000000001
1563,completed,,3655|3499|306|1093|1406,0.9802718162536621,7.367654273937432,0.19672131147540983,0.2740524781341108,9.519340818348473,0.42857142857142855,0.38265306122448983
1932,completed,,3986|537|2552|2967|3297,0.9580553770065308,6.476982312373159,0.2891566265060241,0.5295373665480426,1.6466642419110007,0.0,0.1
3003,completed,,3506|1241|442|1175|2353,0.9854814410209656,4.423306806662206,0.15555555555555556,0.3639081418731015,14.794015674776452,0.28571428571428575,0.20408163265306123
2516,completed,,302|3460|703|2077|553,0.9681152105331421,14.813518656694988,0.34532374100719426,0.4712799738841405,6.429451441231725,0.25,0.6009070294784581
2956,completed,,3532|780|410|3936|3460,0.9436098337173462,2.06352454486067,0.20408163265306123,0.5397029260665623,12.223075560872525,0.4444444444444445,0.7301587301587301
207,completed,,299|2048|577|977|119,0.9741044044494629,17.529626369737805,0.37037037037037035,0.5385520588174036,10.229197414177778,0.28571428571428575,0.20408163265306123
3238,completed,,442|2854|354|598|46,0.982713520526886,3.931972788652264,0.2608695652173913,0.26513185215946844,3.602014150566838,0.14285714285714288,0.16666666666666669
3211,completed,,2205|3380|3892|1348|3556,0.9564324021339417,2.2020121839142623,0.1256544502617801,0.23279019183022878,0.0,0.0,0.0
3039,completed,,421|1420|1315|577|1601,0.9720592498779297,10.12895233093219,0.1764705882352941,0.5731804852039455,17.965205598154213,0.4444444444444445,0.5010893246187365
3930,completed,,1760|595|2524|1979|2213,0.9746909141540527,2.455976161845815,0.17543859649122806,0.19274611398963734,4.767707020457095,0.0,0.0925925925925926
1648,completed,,3071|1466|2632|2048|1165,0.934954822063446,6.022872261973142,0.37647058823529417,0.44285714285714284,0.736550669835346,0.13333333333333333,0.06369426751592357
3803,completed,,551|1322|1259|1361|1077,0.9676130414009094,18.36938543707994,0.39999999999999997,0.4319998114052664,12.43423351463457,0.5882352941176471,0.4024496937882765
538,completed,,43|1190|3921|1623|2812,0.9533616304397583,6.3848752955077925,0.10000000000000002,0.23557571176618797,0.0,0.0,0.0
1813,completed,,3133|3304|2347|2694|3910,0.9730479717254639,14.878846672243158,0.46376811594202894,0.4948761289356819,12.35622127262679,0.375,0.646551724137931
3672,completed,,329|280|1561|3123|877,0.9363792538642883,11.230652044218294,0.1904761904761905,0.3329714078899747,2.627961710408444,0.125,0.19607843137254904
2486,completed,,3440|2866|888|822|3387,0.960804283618927,6.921150800090212,0.23255813953488372,0.1767545681063123,38.80684294761701,0.7272727272727273,0.6285714285714286
3413,completed,,1354|1970|2053|1979|2476,0.9769225120544434,10.091601554280613,0.34408602150537637,0.5129090806322968,36.72056269893593,0.5714285714285714,0.7601351351351351
2880,completed,,1568|3722|2431|2668|176,0.9799184203147888,5.0912128230977505,0.2580645161290323,0.18421052631578946,3.3864985683445354,0.0,0.12820512820512822
2440,completed,,1069|3937|3828|3962|819,0.9722919464111328,5.8806814256268485,0.2857142857142857,0.45811760614338687,14.794015674776452,0.28571428571428575,0.20408163265306123
3502,completed,,2334|1150|436|3175|667,0.9593388438224792,0.9762139409686444,0.08510638297872342,0.11598351553438788,1.3092977432801425,0.08333333333333333,0.07374631268436578
1,completed,,271|1042|745|71|327,0.9557085633277893,9.737792991087657,0.26829268292682923,0.4022536687631027,7.253154775624655,0.3333333333333333,0.07575757575757576
