study_uid,findings_bertscore_p,findings_bertscore_r,findings_bertscore_f1,impression_bertscore_p,impression_bertscore_r,impression_bertscore_f1
1,0.8489277958869934,0.8810098171234131,0.8646713495254517,0.7722874879837036,0.7995538711547852,0.7856842279434204
1052,0.8387210965156555,0.8634788393974304,0.8509199023246765,0.7788031101226807,0.924610435962677,0.8454664945602417
1067,0.8656274080276489,0.8851282000541687,0.8752692341804504,0.9770777821540833,0.9163386821746826,0.9457340240478516
1330,0.8426337838172913,0.8805118799209595,0.8611565232276917,0.9382911324501038,0.9226423501968384,0.9304009675979614
1473,0.8862795829772949,0.8823379874229431,0.884304404258728,0.8503687977790833,0.8735843896865845,0.8618202209472656
1520,0.9154727458953857,0.8698285818099976,0.8920671343803406,0.9751073122024536,0.9751073122024536,0.9751073122024536
1523,0.8344096541404724,0.8668592572212219,0.8503249883651733,0.7414822578430176,0.9463983774185181,0.8315014243125916
1550,0.829548716545105,0.8469961881637573,0.8381816744804382,0.8254631757736206,0.9331749677658081,0.8760205507278442
1551,0.8801341652870178,0.8721556663513184,0.876126766204834,0.879351019859314,0.8974286317825317,0.8882978558540344
1556,0.8262799978256226,0.8379406332969666,0.832069456577301,0.7870553731918335,0.8177456259727478,0.802107036113739
1563,0.8075633645057678,0.8371134400367737,0.8220729827880859,0.8391866683959961,0.8678643107414246,0.8532845973968506
1597,0.8069080114364624,0.862015426158905,0.8335518836975098,0.7423505783081055,0.9019105434417725,0.814388632774353
1648,0.8498542308807373,0.8772194981575012,0.8633201122283936,0.8551231026649475,0.7527828812599182,0.8006961345672607
1732,0.8225462436676025,0.8483502268791199,0.8352490067481995,0.9910463690757751,0.9910463690757751,0.9910463690757751
1750,0.8262690305709839,0.8176589012145996,0.8219414353370667,0.7819871306419373,0.7854330539703369,0.7837063074111938
1813,0.9054901003837585,0.9086040258407593,0.9070444703102112,0.8330261707305908,0.9310076236724854,0.8792957663536072
1883,0.8612885475158691,0.8540810346603394,0.8576695919036865,0.892704963684082,0.864052414894104,0.8781450390815735
1932,0.8428957462310791,0.8984478712081909,0.8697856664657593,0.7611084580421448,0.8152484893798828,0.7872487902641296
207,0.8759629726409912,0.9212335348129272,0.8980280756950378,0.8833057880401611,0.8854719996452332,0.8843874931335449
2161,0.8235682249069214,0.8671767115592957,0.8448100686073303,0.8143889904022217,0.851193904876709,0.8323848247528076
2209,0.8236866593360901,0.8633536100387573,0.8430537581443787,0.881912112236023,0.8797893524169922,0.8808494806289673
2229,0.9112277030944824,0.8398571014404297,0.874087929725647,0.9261045455932617,0.8760020732879639,0.9003568291664124
2348,0.8202619552612305,0.8092766404151917,0.8147323131561279,0.8093888163566589,0.8374385833740234,0.823174774646759
2349,0.7812244296073914,0.8551015257835388,0.8164952993392944,0.7684684991836548,0.8112061023712158,0.789259135723114
2371,0.8980143070220947,0.8765478730201721,0.887151300907135,0.7997607588768005,0.7657074332237244,0.7823637127876282
238,0.8510119318962097,0.8897906541824341,0.8699694275856018,0.9221587777137756,0.9791181087493896,0.9497852921485901
2440,0.8367863893508911,0.8848428130149841,0.8601438999176025,0.9133189916610718,0.8894897699356079,0.9012469053268433
2451,0.8485665321350098,0.8413718938827515,0.8449538946151733,0.8711043000221252,0.8063973188400269,0.8375027775764465
2464,0.8299281001091003,0.8550251126289368,0.8422897458076477,0.9395443201065063,0.9048218727111816,0.9218562245368958
2486,0.8256102800369263,0.8395121693611145,0.8325031399726868,0.9770777821540833,0.9163386821746826,0.9457340240478516
2506,0.8537274599075317,0.8857027292251587,0.8694212436676025,0.9050432443618774,0.8726869821548462,0.8885706663131714
2516,0.825251042842865,0.8993518352508545,0.8607094287872314,0.7574445605278015,0.8486465215682983,0.800456166267395
2569,0.8703758120536804,0.8487880229949951,0.8594463467597961,0.9999998807907104,0.9999998807907104,0.9999998807907104
2578,0.8964135050773621,0.8016260266304016,0.8463742136955261,0.8383397459983826,0.7694206833839417,0.8024030327796936
2616,0.792079508304596,0.8521658182144165,0.8210247755050659,0.8668362498283386,0.7812927961349487,0.8218445181846619
2623,0.8435007929801941,0.9146391153335571,0.8776307702064514,0.7468225955963135,0.8359010815620422,0.7888551354408264
2636,0.8531837463378906,0.8398665189743042,0.8464727997779846,0.8100393414497375,0.8740292191505432,0.8408185243606567
2639,0.851174533367157,0.8658945560455322,0.8584714531898499,0.9999998807907104,0.9999998807907104,0.9999998807907104
2655,0.8883082270622253,0.8348225951194763,0.860735297203064,0.8161570429801941,0.876258909702301,0.845140814781189
2728,0.7896822690963745,0.8353939056396484,0.8118951916694641,0.7794384360313416,0.8266363143920898,0.8023438453674316
2748,0.8646699786186218,0.9195739030838013,0.8912771940231323,0.8400436639785767,0.8532885313034058,0.8466143012046814
2865,0.8424272537231445,0.8711176514625549,0.8565323352813721,0.8177305459976196,0.8989310264587402,0.8564103245735168
2879,0.7897664904594421,0.8575200438499451,0.8222499489784241,0.8024728298187256,0.9217732548713684,0.857995867729187
2880,0.8476456999778748,0.8480421900749207,0.8478438854217529,0.8083640933036804,0.8282760381698608,0.8181989789009094
2902,0.81877601146698,0.8388527631759644,0.8286928534507751,0.8598846793174744,0.9167584180831909,0.8874112963676453
2956,0.8186128735542297,0.90146404504776,0.8580431342124939,0.8294645547866821,0.8905888199806213,0.8589405417442322
2963,0.8743627667427063,0.8533540964126587,0.8637307286262512,0.9349768757820129,0.915918231010437,0.9253493547439575
3003,0.8110898733139038,0.823650062084198,0.8173217177391052,0.9013361930847168,0.8778729438781738,0.8894498348236084
3017,0.8614940047264099,0.88013756275177,0.8707160353660583,0.8004472851753235,0.816879391670227,0.8085798621177673
3039,0.8525124192237854,0.9096727967262268,0.8801655173301697,0.9217343330383301,0.9376863241195679,0.9296419024467468
3085,0.8047752976417542,0.8557089567184448,0.8294609189033508,0.7757363319396973,0.8707162141799927,0.8204867243766785
309,0.7980784177780151,0.9014762043952942,0.8466320037841797,0.8494440317153931,0.8656412959098816,0.8574662208557129
3109,0.8510080575942993,0.9096086621284485,0.8793331384658813,0.8420634865760803,0.9611438512802124,0.8976716995239258
3121,0.8251882791519165,0.8377783298492432,0.8314356207847595,0.9013361930847168,0.8778729438781738,0.8894498348236084
3141,0.8477389812469482,0.902511477470398,0.8742681741714478,0.8142194151878357,0.8087306022644043,0.8114656805992126
3156,0.8451766967773438,0.8560335636138916,0.8505704402923584,0.8293467164039612,0.8589979410171509,0.84391188621521
3189,0.7946993112564087,0.85202556848526,0.8223645687103271,0.7239359617233276,0.8361047506332397,0.7759878039360046
3206,0.8361308574676514,0.9022791981697083,0.8679465651512146,0.8685773611068726,0.8755629658699036,0.8720561265945435
3211,0.7849617004394531,0.8300394415855408,0.8068714141845703,0.7629966139793396,0.7341641187667847,0.7483027577400208
3229,0.8375949263572693,0.8831074237823486,0.8597492575645447,0.859124481678009,0.8609011173248291,0.8600119352340698
3238,0.8666562438011169,0.8242643475532532,0.8449289202690125,0.8513184785842896,0.7854089736938477,0.8170366287231445
3241,0.8200967311859131,0.8541348576545715,0.8367698192596436,0.8320706486701965,0.8141590356826782,0.8230173587799072
3283,0.8112829923629761,0.8552948236465454,0.8327077627182007,0.8555295467376709,0.8516703248023987,0.8535956144332886
3311,0.8347447514533997,0.8713558912277222,0.8526574969291687,0.8731412887573242,0.8988856077194214,0.8858264088630676
3327,0.7890042066574097,0.8785496950149536,0.8313727378845215,0.8026711344718933,0.7329582571983337,0.7662323117256165
3363,0.8280493021011353,0.8045433759689331,0.8161271214485168,0.8508110046386719,0.809687614440918,0.829740047454834
3413,0.8283032178878784,0.9270067811012268,0.8748798370361328,0.8766693472862244,0.9255596399307251,0.9004513621330261
345,0.8735140562057495,0.8605051040649414,0.8669608235359192,0.9670109152793884,0.9670109152793884,0.9670109152793884
3471,0.8645552396774292,0.8120288848876953,0.8374692797660828,0.8942306041717529,0.8520908951759338,0.8726523518562317
3494,0.8624694347381592,0.8561640977859497,0.859305202960968,0.823754608631134,0.8946767449378967,0.8577521443367004
3502,0.8380789756774902,0.7830366492271423,0.8096233606338501,0.7743620872497559,0.7530535459518433,0.7635592222213745
3545,0.8268148899078369,0.8129886388778687,0.8198434114456177,0.8130474090576172,0.7887570858001709,0.8007180690765381
3546,0.7940980792045593,0.8568016886711121,0.8242591023445129,0.7856099605560303,0.7609107494354248,0.773063063621521
358,0.911380410194397,0.8741699457168579,0.8923874497413635,0.9148332476615906,0.9764195680618286,0.9446237087249756
3597,0.8110682964324951,0.8067755699157715,0.8089162707328796,0.8428558111190796,0.9538123607635498,0.8949078917503357
3634,0.8239955306053162,0.8374137282371521,0.8306504487991333,0.8236124515533447,0.881784975528717,0.8517066240310669
3639,0.8392159938812256,0.8504424095153809,0.8447919487953186,0.8155772686004639,0.817066490650177,0.8163212537765503
3651,0.8255777359008789,0.8456491827964783,0.8354929089546204,0.7911644577980042,0.8413805365562439,0.8155001997947693
3672,0.8598352670669556,0.874556303024292,0.8671333193778992,0.7967889308929443,0.8483678102493286,0.8217698335647583
3687,0.8410935997962952,0.8348620533943176,0.83796626329422,0.7519355416297913,0.8105567097663879,0.7801464796066284
3694,0.8303910493850708,0.7978875637054443,0.8138148784637451,0.8594609498977661,0.8953275084495544,0.877027690410614
3707,0.8467382192611694,0.8519835472106934,0.8493528366088867,0.7878034114837646,0.8042020797729492,0.7959182858467102
3756,0.8475413918495178,0.8332591652870178,0.8403396010398865,0.9999998807907104,0.9999998807907104,0.9999998807907104
3766,0.8950393795967102,0.880790650844574,0.8878578543663025,0.8225356936454773,0.9367926716804504,0.8759540915489197
3770,0.8511168956756592,0.8859221339225769,0.8681707978248596,0.8857160210609436,0.8285431265830994,0.8561761975288391
3803,0.8841084837913513,0.8629018664360046,0.8733764886856079,0.8855487704277039,0.8560044765472412,0.8705259561538696
3858,0.8828780055046082,0.8764239549636841,0.879639208316803,0.7844285368919373,0.9145825505256653,0.8445202708244324
3907,0.8510123491287231,0.8590027093887329,0.8549888730049133,0.817975640296936,0.7359864711761475,0.7748181223869324
3908,0.8750024437904358,0.8565593957901001,0.8656826615333557,0.9724162817001343,0.9724162817001343,0.9724162817001343
3918,0.8277292251586914,0.8570392727851868,0.8421293497085571,0.8301151990890503,0.7796709537506104,0.8041027784347534
3930,0.8228259086608887,0.8284925818443298,0.8256494998931885,0.7898435592651367,0.7894597053527832,0.7896515727043152
3961,0.8696619868278503,0.8805193305015564,0.8750569224357605,0.7663429975509644,0.874914288520813,0.8170375823974609
3967,0.9060624837875366,0.8658069372177124,0.8854774236679077,0.841106653213501,0.8798221945762634,0.8600289225578308
3977,0.8319606184959412,0.8552209734916687,0.8434304594993591,0.876373827457428,0.9364373683929443,0.9054105877876282
3979,0.8391488790512085,0.855246901512146,0.8471214175224304,0.7765414714813232,0.9248816967010498,0.8442449569702148
470,0.8235242366790771,0.866479754447937,0.8444560766220093,0.8867902755737305,0.861091136932373,0.8737518191337585
