study_uid,status,reason,retrieved_uids,top1_similarity,findings_bleu,findings_rouge_l,findings_meteor,impression_bleu,impression_rouge_l,impression_meteor
2639,completed,,1509|1091|3114|1392|480,0.9783902168273926,0.18907775448976147,0.1509433962264151,0.0625,8.116697886877475,0.0,0.09803921568627452
1052,completed,,831|1317|1543|3531|3813,0.9386796951293945,1.2167978460730347,0.06779661016949153,0.06265664160401004,1.0885011049519644,0.06451612903225806,0.14285714285714285
2748,completed,,1656|676|1009|1568|682,0.9763554334640503,1.2005791710472944,0.17777777777777776,0.11019283746556473,8.116697886877475,0.0,0.08333333333333333
345,completed,,977|3528|577|1315|250,0.9767473340034485,0.833935126933236,0.14634146341463414,0.07598784194528875,8.116697886877475,0.0,0.09803921568627452
3770,completed,,3460|1889|1509|2802|1474,0.97834312915802,2.882572276575902,0.0625,0.12658227848101267,4.167251645138561,0.0,0.05208333333333333
2349,completed,,3889|2588|604|1180|3315,0.9493793845176697,5.345119782517371,0.15384615384615383,0.1724726775956284,9.652434877402245,0.25,0.45454545454545453
1550,completed,,1129|3620|1579|1430|3310,0.9687895774841309,1.7557381354086663,0.043478260869565216,0.08130081300813008,0.7605497822189857,0.0,0.05376344086021506
740,completed,,839|532|3384|2068|1575,0.9803164601325989,2.392062573000875,0.20689655172413793,0.14925373134328357,6.870636427700047,0.0,0.07246376811594203
3687,completed,,3556|21|777|1174|1332,0.9538816809654236,0.4494972984453964,0.11764705882352941,0.054858934169279,1.5061893230938672,0.0,0.05154639175257732
2464,completed,,3209|176|1060|1568|3625,0.9845759272575378,0.7952729443529213,0.18181818181818182,0.09186351706036747,0.0,0.0,0.0
3977,completed,,788|1091|3125|3321|2838,0.9688936471939087,0.922713794790977,0.13953488372093023,0.0847457627118644,8.116697886877475,0.0,0.09803921568627452
1597,completed,,3127|2692|1315|2356|2166,0.9696124196052551,1.5880117714047368,0.0,0.050251256281407045,1.0559717178170818,0.0625,0.14084507042253522
3634,completed,,3123|1249|2060|155|52,0.9679502844810486,1.6404472625060698,0.043478260869565216,0.09852216748768472,1.199348129252962,0.0,0.06578947368421054
3597,completed,,3871|2343|2807|1305|3720,0.9755908846855164,1.4897919940758404,0.16666666666666666,0.13039415562351342,8.116697886877475,0.0,0.09803921568627452
1732,completed,,2549|620|3133|3902|1440,0.9773091077804565,2.079172217726024,0.1176470588235294,0.0859106529209622,8.116697886877475,0.0,0.09803921568627452
3311,completed,,887|3422|1428|422|705,0.9716535806655884,1.6504858804426332,0.2352941176470588,0.14227642276422764,8.116697886877475,0.0,0.11904761904761905
2865,completed,,587|1624|3879|1031|1829,0.925297737121582,1.9924596337180844,0.11764705882352941,0.09911894273127755,2.1476912089159055,0.1,0.29761904761904767
3121,completed,,1168|3114|322|2377|3209,0.9831143021583557,1.3996615993016444,0.10526315789473684,0.08090614886731393,8.116697886877475,0.0,0.09803921568627452
