study_uid,status,reason,retrieved_uids,top1_similarity,findings_bleu,findings_rouge_l,findings_meteor,impression_bleu,impression_rouge_l,impression_meteor
3967,completed,,142|1926|1643|438|1546,0.9789539575576782,0.2260339779138553,0.0930232558139535,0.028490028490028494,4.767707020457095,0.125,0.0617283950617284
618,completed,,2965|858|1106|2701|2030,0.9489535093307495,0.059581909695005666,0.07692307692307693,0.04357298474945534,2.7354882120611315,0.0909090909090909,0.037037037037037035
2161,completed,,1074|1193|2123|45|454,0.9727507829666138,0.0,0.0909090909090909,0.026455026455026457,0.0,0.22222222222222224,0.09259259259259259
1520,completed,,1574|3377|3314|2081|2552,0.9480918645858765,0.48722122290457953,0.11428571428571428,0.050505050505050504,4.767707020457095,0.14285714285714288,0.0925925925925926
1563,completed,,3655|3499|306|1093|1406,0.9802718162536621,0.3525279032119809,0.11428571428571428,0.031746031746031744,0.0,0.11111111111111112,0.05050505050505051
1932,completed,,3986|537|2552|2967|3297,0.9580553770065308,1.1967346471330695,0.06896551724137931,0.046296296296296294,4.767707020457095,0.16666666666666669,0.13888888888888892
3003,completed,,3506|1241|442|1175|2353,0.9854814410209656,0.22384201182072835,0.14634146341463414,0.05555555555555555,4.767707020457095,0.28571428571428575,0.1851851851851852
2516,completed,,302|3460|703|2077|553,0.9681152105331421,0.08732360011397493,0.041666666666666664,0.012077294685990338,4.767707020457095,0.15384615384615383,0.13888888888888892
2956,completed,,3532|780|410|3936|3460,0.9436098337173462,1.1967346471330695,0.06896551724137931,0.046296296296296294,4.767707020457095,0.16666666666666669,0.13888888888888892
207,completed,,299|2048|577|977|119,0.9741044044494629,1.0605002971415018,0.12903225806451613,0.08547008547008547,4.266331692956901,0.11111111111111112,0.05050505050505051
3238,completed,,442|2854|354|598|46,0.982713520526886,0.017381126664538137,0.06060606060606061,0.03527336860670194,0.9005035376417098,0.06666666666666667,0.044444444444444446
3211,completed,,2205|3380|3892|1348|3556,0.9564324021339417,0.04269230384025154,0.07142857142857142,0.0205761316872428,0.9005035376417098,0.06896551724137931,0.021367521367521368
3039,completed,,421|1420|1315|577|1601,0.9720592498779297,2.7354882120611315,0.09523809523809525,0.037037037037037035,4.767707020457095,0.14285714285714288,0.0925925925925926
3930,completed,,1760|595|2524|1979|2213,0.9746909141540527,0.1809938604456956,0.08888888888888888,0.02710027100271003,0.0,0.0,0.0
1648,completed,,3071|1466|2632|2048|1165,0.934954822063446,0.2152391866138308,0.13333333333333333,0.05420054200542006,1.9600629536473144,0.0909090909090909,0.0308641975308642
3803,completed,,551|1322|1259|1361|1077,0.9676130414009094,0.053316235365974324,0.11111111111111109,0.032051282051282055,3.056960239296902,0.10526315789473685,0.03968253968253969
538,completed,,43|1190|3921|1623|2812,0.9533616304397583,1.9931419674685165,0.13333333333333333,0.11358024691358025,3.817681337429047,0.10526315789473685,0.046296296296296294
1813,completed,,3133|3304|2347|2694|3910,0.9730479717254639,0.1361919386333735,0.08888888888888888,0.03968253968253968,4.767707020457095,0.14285714285714288,0.0925925925925926
3672,completed,,329|280|1561|3123|877,0.9363792538642883,0.4137145798283094,0.06250000000000001,0.017361111111111112,0.0,0.0,0.0
2486,completed,,3440|2866|888|822|3387,0.960804283618927,0.017381126664538137,0.09523809523809525,0.026455026455026457,4.767707020457095,0.23529411764705882,0.1234567901234568
3413,completed,,1354|1970|2053|1979|2476,0.9769225120544434,0.9005035376417098,0.12903225806451613,0.06666666666666667,4.767707020457095,0.13333333333333333,0.06944444444444445
2880,completed,,1568|3722|2431|2668|176,0.9799184203147888,1.5694957190569983,0.08,0.027777777777777776,4.767707020457095,0.16666666666666669,0.13888888888888892
2440,completed,,1069|3937|3828|3962|819,0.9722919464111328,0.9246678639493274,0.11428571428571428,0.1131272401433692,0.0,0.0,0.0
3502,completed,,2334|1150|436|3175|667,0.9593388438224792,0.0009670510954285403,0.05333333333333334,0.024968789013732836,0.26526567499345094,0.05714285714285714,0.0154320987654321
1,completed,,271|1042|745|71|327,0.9557085633277893,0.1361919386333735,0.0909090909090909,0.03968253968253968,4.767707020457095,0.28571428571428575,0.06944444444444445
3363,completed,,1059|1217|6|634|493,0.9328785538673401,0.011144437546118812,0.10169491525423728,0.03316749585406302,1.9600629536473144,0.1818181818181818,0.0617283950617284
238,completed,,3384|1647|371|1366|755,0.9826664924621582,1.5694957190569983,0.16,0.05555555555555555,4.767707020457095,0.28571428571428575,0.1851851851851852
1750,completed,,934|640|1475|1361|1922,0.9521170258522034,0.023325045173229593,0.06451612903225806,0.03642987249544627,1.7539413943549187,0.08333333333333333,0.029239766081871347
